 v-sweep         dc1.v(Vout)     v-sweep         dc2.v(Vout)     v-sweep         dc3.v(Vout)    
 1.43000000e-01  6.52885853e-03  1.43000000e-01  2.92696611e-05  1.43000000e-01  7.42915421e-07 
 1.44000000e-01  6.65252061e-03  1.44000000e-01  3.00836491e-05  1.44000000e-01  7.43649940e-07 
 1.45000000e-01  6.77871172e-03  1.45000000e-01  3.09183401e-05  1.45000000e-01  7.44121362e-07 
 1.46000000e-01  6.90749577e-03  1.46000000e-01  3.17756540e-05  1.46000000e-01  7.44279306e-07 
 1.47000000e-01  7.03893795e-03  1.47000000e-01  3.26554089e-05  1.47000000e-01  7.44083301e-07 
 1.48000000e-01  7.17310393e-03  1.48000000e-01  3.35585350e-05  1.48000000e-01  7.45291862e-07 
 1.49000000e-01  7.31006516e-03  1.49000000e-01  3.44848605e-05  1.49000000e-01  7.44985867e-07 
 1.50000000e-01  7.44989284e-03  1.50000000e-01  3.54369988e-05  1.50000000e-01  7.46048230e-07 
 1.51000000e-01  7.59266038e-03  1.51000000e-01  3.64125135e-05  1.51000000e-01  7.46664729e-07 
 1.52000000e-01  7.73844620e-03  1.52000000e-01  3.74145936e-05  1.52000000e-01  7.47004630e-07 
 1.53000000e-01  7.88733128e-03  1.53000000e-01  3.84427857e-05  1.53000000e-01  7.47446446e-07 
 1.54000000e-01  8.03939433e-03  1.54000000e-01  3.94972928e-05  1.54000000e-01  7.48401493e-07 
 1.55000000e-01  8.19472472e-03  1.55000000e-01  4.05796253e-05  1.55000000e-01  7.48454025e-07 
 1.56000000e-01  8.35340864e-03  1.56000000e-01  4.16896644e-05  1.56000000e-01  7.49470790e-07 
 1.57000000e-01  8.51554066e-03  1.57000000e-01  4.28295423e-05  1.57000000e-01  7.49484631e-07 
 1.58000000e-01  8.68121306e-03  1.58000000e-01  4.39981211e-05  1.58000000e-01  7.50213148e-07 
 1.59000000e-01  8.85052933e-03  1.59000000e-01  4.51963404e-05  1.59000000e-01  7.52370077e-07 
 1.60000000e-01  9.02359045e-03  1.60000000e-01  4.64249573e-05  1.60000000e-01  7.52017611e-07 
 1.61000000e-01  9.20050260e-03  1.61000000e-01  4.76861037e-05  1.61000000e-01  7.52890288e-07 
 1.62000000e-01  9.38137877e-03  1.62000000e-01  4.89782506e-05  1.62000000e-01  7.53199706e-07 
 1.63000000e-01  9.56633511e-03  1.63000000e-01  5.03027258e-05  1.63000000e-01  7.54812180e-07 
 1.64000000e-01  9.75549315e-03  1.64000000e-01  5.16615403e-05  1.64000000e-01  7.55434763e-07 
 1.65000000e-01  9.94897808e-03  1.65000000e-01  5.30563147e-05  1.65000000e-01  7.55293490e-07 
 1.66000000e-01  1.01469179e-02  1.66000000e-01  5.44844997e-05  1.66000000e-01  7.56195136e-07 
 1.67000000e-01  1.03494583e-02  1.67000000e-01  5.59488828e-05  1.67000000e-01  7.56983408e-07 
 1.68000000e-01  1.05567336e-02  1.68000000e-01  5.74491580e-05  1.68000000e-01  7.58653582e-07 
 1.69000000e-01  1.07688987e-02  1.69000000e-01  5.89890658e-05  1.69000000e-01  7.58083367e-07 
 1.70000000e-01  1.09861069e-02  1.70000000e-01  6.05654867e-05  1.70000000e-01  7.60369614e-07 
 1.71000000e-01  1.12085245e-02  1.71000000e-01  6.21822262e-05  1.71000000e-01  7.61368630e-07 
 1.72000000e-01  1.14363190e-02  1.72000000e-01  6.38377729e-05  1.72000000e-01  7.62292880e-07 
 1.73000000e-01  1.16696755e-02  1.73000000e-01  6.55360199e-05  1.73000000e-01  7.62092457e-07 
 1.74000000e-01  1.19087751e-02  1.74000000e-01  6.72747012e-05  1.74000000e-01  7.63472053e-07 
 1.75000000e-01  1.21538251e-02  1.75000000e-01  6.90553876e-05  1.75000000e-01  7.64195472e-07 
 1.76000000e-01  1.24050258e-02  1.76000000e-01  7.08821966e-05  1.76000000e-01  7.67608147e-07 
 1.77000000e-01  1.26625976e-02  1.77000000e-01  7.27512352e-05  1.77000000e-01  7.67828184e-07 
 1.78000000e-01  1.29267736e-02  1.78000000e-01  7.46671882e-05  1.78000000e-01  7.69416143e-07 
 1.79000000e-01  1.31977910e-02  1.79000000e-01  7.66291642e-05  1.79000000e-01  7.69458293e-07 
 1.80000000e-01  1.34759091e-02  1.80000000e-01  7.86379686e-05  1.80000000e-01  7.70897917e-07 
 1.81000000e-01  1.37613996e-02  1.81000000e-01  8.06962729e-05  1.81000000e-01  7.71828858e-07 
 1.82000000e-01  1.40545456e-02  1.82000000e-01  8.28037847e-05  1.82000000e-01  7.73674883e-07 
 1.83000000e-01  1.43556514e-02  1.83000000e-01  8.49613448e-05  1.83000000e-01  7.74789557e-07 
 1.84000000e-01  1.46650362e-02  1.84000000e-01  8.71701487e-05  1.84000000e-01  7.77487847e-07 
 1.85000000e-01  1.49830418e-02  1.85000000e-01  8.94333110e-05  1.85000000e-01  7.78328052e-07 
 1.86000000e-01  1.53100297e-02  1.86000000e-01  9.17494587e-05  1.86000000e-01  7.79227356e-07 
 1.87000000e-01  1.56463851e-02  1.87000000e-01  9.41198859e-05  1.87000000e-01  7.80162985e-07 
 1.88000000e-01  1.59925219e-02  1.88000000e-01  9.65461524e-05  1.88000000e-01  7.83218061e-07 
 1.89000000e-01  1.63488714e-02  1.89000000e-01  9.90304768e-05  1.89000000e-01  7.84389660e-07 
 1.90000000e-01  1.67159085e-02  1.90000000e-01  1.01572026e-04  1.90000000e-01  7.85724361e-07 
 1.91000000e-01  1.70941324e-02  1.91000000e-01  1.04174353e-04  1.91000000e-01  7.87326823e-07 
 1.92000000e-01  1.74840856e-02  1.92000000e-01  1.06835993e-04  1.92000000e-01  7.89522270e-07 
 1.93000000e-01  1.78863469e-02  1.93000000e-01  1.09558878e-04  1.93000000e-01  7.90918418e-07 
 1.94000000e-01  1.83015343e-02  1.94000000e-01  1.12346355e-04  1.94000000e-01  7.93549748e-07 
 1.95000000e-01  1.87303291e-02  1.95000000e-01  1.15197665e-04  1.95000000e-01  7.95156894e-07 
 1.96000000e-01  1.91734584e-02  1.96000000e-01  1.18114342e-04  1.96000000e-01  7.97039719e-07 
 1.97000000e-01  1.96317149e-02  1.97000000e-01  1.21097940e-04  1.97000000e-01  7.99878592e-07 
 1.98000000e-01  2.01059475e-02  1.98000000e-01  1.24149484e-04  1.98000000e-01  8.01627175e-07 
 1.99000000e-01  2.05971088e-02  1.99000000e-01  1.27271358e-04  1.99000000e-01  8.03861332e-07 
 2.00000000e-01  2.11062068e-02  2.00000000e-01  1.30464094e-04  2.00000000e-01  8.06411568e-07 
 2.01000000e-01  2.16343588e-02  2.01000000e-01  1.33729154e-04  2.01000000e-01  8.08775255e-07 
 2.02000000e-01  2.21828268e-02  2.02000000e-01  1.37067952e-04  2.02000000e-01  8.11419601e-07 
 2.03000000e-01  2.27529373e-02  2.03000000e-01  1.40480959e-04  2.03000000e-01  8.13940449e-07 
 2.04000000e-01  2.33462024e-02  2.04000000e-01  1.43972340e-04  2.04000000e-01  8.16828385e-07 
 2.05000000e-01  2.39642949e-02  2.05000000e-01  1.47539729e-04  2.05000000e-01  8.18635922e-07 
 2.06000000e-01  2.46090727e-02  2.06000000e-01  1.51188110e-04  2.06000000e-01  8.21518558e-07 
 2.07000000e-01  2.52826205e-02  2.07000000e-01  1.54917169e-04  2.07000000e-01  8.24984088e-07 
 2.08000000e-01  2.59872727e-02  2.08000000e-01  1.58728010e-04  2.08000000e-01  8.27540523e-07 
 2.09000000e-01  2.67256782e-02  2.09000000e-01  1.62622160e-04  2.09000000e-01  8.32255879e-07 
 2.10000000e-01  2.75008367e-02  2.10000000e-01  1.66603796e-04  2.10000000e-01  8.34752944e-07 
 2.11000000e-01  2.83161756e-02  2.11000000e-01  1.70672521e-04  2.11000000e-01  8.37162287e-07 
 2.12000000e-01  2.91756330e-02  2.12000000e-01  1.74830391e-04  2.12000000e-01  8.41652020e-07 
 2.13000000e-01  3.00837491e-02  2.13000000e-01  1.79077682e-04  2.13000000e-01  8.45055431e-07 
 2.14000000e-01  3.10458321e-02  2.14000000e-01  1.83418313e-04  2.14000000e-01  8.48757438e-07 
 2.15000000e-01  3.20680746e-02  2.15000000e-01  1.87852260e-04  2.15000000e-01  8.52027549e-07 
 2.16000000e-01  3.31578183e-02  2.16000000e-01  1.92382338e-04  2.16000000e-01  8.56176590e-07 
 2.17000000e-01  3.43238228e-02  2.17000000e-01  1.97009283e-04  2.17000000e-01  8.60091441e-07 
 2.18000000e-01  3.55766354e-02  2.18000000e-01  2.01735377e-04  2.18000000e-01  8.63528333e-07 
 2.19000000e-01  3.69291126e-02  2.19000000e-01  2.06563384e-04  2.19000000e-01  8.68310545e-07 
 2.20000000e-01  3.83970943e-02  2.20000000e-01  2.11492905e-04  2.20000000e-01  8.72213521e-07 
 2.21000000e-01  4.00003787e-02  2.21000000e-01  2.16528375e-04  2.21000000e-01  8.78376782e-07 
 2.22000000e-01  4.17640458e-02  2.22000000e-01  2.21669805e-04  2.22000000e-01  8.82108232e-07 
 2.23000000e-01  4.37206394e-02  2.23000000e-01  2.26920453e-04  2.23000000e-01  8.85769717e-07 
 2.24000000e-01  4.59125363e-02  2.24000000e-01  2.32281454e-04  2.24000000e-01  8.91867581e-07 
 2.25000000e-01  4.83968341e-02  2.25000000e-01  2.37753259e-04  2.25000000e-01  8.96514535e-07 
 2.26000000e-01  5.12518857e-02  2.26000000e-01  2.43340880e-04  2.26000000e-01  9.02462256e-07 
 2.27000000e-01  5.45878621e-02  2.27000000e-01  2.49044289e-04  2.27000000e-01  9.08315798e-07 
 2.28000000e-01  5.85640839e-02  2.28000000e-01  2.54867761e-04  2.28000000e-01  9.13774904e-07 
 2.29000000e-01  6.34171355e-02  2.29000000e-01  2.60810581e-04  2.29000000e-01  9.19178273e-07 
 2.30000000e-01  6.95067254e-02  2.30000000e-01  2.66876651e-04  2.30000000e-01  9.26253264e-07 
 2.31000000e-01  7.73860653e-02  2.31000000e-01  2.73067203e-04  2.31000000e-01  9.31479780e-07 
 2.32000000e-01  8.78908540e-02  2.32000000e-01  2.79384444e-04  2.32000000e-01  9.39073987e-07 
 2.33000000e-01  1.02187764e-01  2.33000000e-01  2.85830728e-04  2.33000000e-01  9.44943973e-07 
 2.34000000e-01  1.21620502e-01  2.34000000e-01  2.92409894e-04  2.34000000e-01  9.52023102e-07 
 2.35000000e-01  1.47228589e-01  2.35000000e-01  2.99122011e-04  2.35000000e-01  9.58942163e-07 
 2.36000000e-01  1.79259403e-01  2.36000000e-01  3.05970737e-04  2.36000000e-01  9.66447201e-07 
